Mes,Conversiones Shopify,Conversiones Reales,% Conv,Ingresos Shopify,Ingresos Reales,% Ing,Compras Perdidas,Ingresos Perdidos
Febrero,52,23,56%,"$1,848",$672,64%,29,$847
Marzo,123,75,39%,"$2,820","$1,589",44%,48,"$1,017"
Abril,200,105,48%,"$6,544","$2,937",55%,95,"$2,657"
Mayo,229,159,31%,"$7,368","$4,348",41%,70,"$1,914"
Junio,244,167,68%,"$7,174","$4,419",38%,77,"$2,038"
Julio,309,199,64%,"$9,418","$5,316",44%,110,"$2,938"
Agosto,316,165,52%,"$9,572","$4,131",57%,151,"$3,780"
Septiembre,320,182,57%,"$9,892","$4,598",54%,138,"$3,486"
Octubre,318,200,63%,"$9,630","$5,059",47%,118,"$2,985"
Noviembre,495,227,46%,"$16,470","$7,602",54%,268,"$8,975"
Diciembre,332,211,64%,"$12,686","$6,955",45%,121,"$3,988"
Enero,493,199,40%,"$17,791","$6,307",65%,294,"$9,318"
Febrero,520,260,50%,"$16,685","$7,162",57%,260,"$7,162"
Marzo,468,275,59%,"$13,748","$7,887",43%,193,"$5,535"
abril,217,253,117%,"$6,711","$3,906",42%,-36,-$556
mayo,346,182,53%,"$13,670","$6,423",53%,164,"$5,788"
junio,276,170,62%,"$10,406","$6,390",39%,106,"$3,984"